target,date,year,time,location,reason,weather,grae,dead,injured,spot,veh_n_acc
1,2016-07-29,2016,4:59,19.6,졸음,맑음,B급,1,0,본선,2
1,2017-04-28,2017,0:49,18.9,졸음,맑음,D급,0,0,본선,1
1,2017-09-29,2017,14:15,21.2,추월불량,맑음,D급,0,0,본선,2
1,2017-12-14,2017,4:30,20.7,졸음,맑음,D급,0,0,본선,2
1,2020-12-07,2020,20:44,20.8,주시태만,맑음,D급,0,0,,2
2,2016-03-30,2016,17:20,25.3,과속,맑음,D급,0,0,본선,1
2,2017-01-30,2017,15:40,26.4,주시태만,맑음,D급,0,0,본선,1
2,2017-08-17,2017,15:25,26.5,주시태만,맑음,C급,0,0,본선,1
2,2018-01-06,2018,7:05,26.6,과속,맑음,C급,0,1,본선,1
2,2018-02-24,2018,19:17,26.6,주시태만,맑음,D급,0,0,본선,2
2,2018-11-09,2018,15:45,24.2,주시태만,맑음,D급,0,0,본선,2
2,2018-12-01,2018,3:30,26.5,졸음,맑음,D급,0,1,본선,2
2,2020-10-03,2020,22:04,27.2,과속,맑음,D급,0,0,본선,2
3,2016-01-14,2016,14:12,31.3,주시태만,맑음,D급,0,0,본선,1
3,2016-12-09,2016,10:00,30.1,운전자요인기타,맑음,D급,0,0,본선,1
3,2018-02-22,2018,19:39,31.2,과속,맑음,C급,0,0,본선,1
3,2018-03-09,2018,19:36,32.2,주시태만,맑음,C급,0,0,본선,3
3,2020-08-20,2020,5:45,32,과속,맑음,D급,0,1,본선,1
3,2021-02-18,2021,17:34,31.1,과속,맑음,D급,0,0,,1
4,2017-07-09,2017,10:40,33.5,과속,맑음,D급,0,0,본선,1
4,2018-03-09,2018,19:36,32.2,주시태만,맑음,C급,0,0,본선,3
4,2018-11-09,2018,19:01,32.7,안전거리미확보,맑음,D급,0,0,본선,2
4,2020-08-20,2020,5:45,32,과속,맑음,D급,0,1,본선,1
5,2016-08-29,2016,16:40,24.6,주시태만,맑음,C급,0,0,본선,1
5,2017-02-11,2017,9:15,28,과속,맑음,D급,0,0,램프,1
5,2017-05-28,2017,23:35,26.7,주시태만,맑음,D급,0,0,본선,2
5,2017-08-16,2017,11:30,26.4,운전자요인기타,맑음,D급,0,0,본선,1
5,2018-03-12,2018,20:40,28,주시태만,맑음,D급,0,0,,1
5,2018-03-16,2018,17:20,25.5,주시태만,맑음,D급,0,0,본선,2
5,2018-03-27,2018,8:20,24.3,주시태만,맑음,D급,0,0,본선,2
5,2018-06-23,2018,14:46,25,졸음,맑음,C급,0,1,휴게소,1
5,2019-05-05,2019,22:01,28,운전자요인기타,맑음,D급,0,0,,1
5,2019-05-22,2019,12:01,25.6,졸음,맑음,C급,0,0,본선,2
5,2019-06-12,2019,11:08,25,과속,맑음,D급,0,0,본선,1
5,2020-02-04,2020,14:11,26.6,졸음,맑음,D급,0,0,본선,2
5,2020-11-29,2020,0:20,26.5,주시태만,맑음,D급,0,0,본선,2
6,2018-02-23,2018,21:28,30.6,과속,맑음,D급,0,0,본선,1
6,2018-12-15,2018,3:30,29.6,과속,맑음,C급,0,0,본선,1
6,2019-01-07,2019,1:13,31.8,졸음,맑음,D급,0,0,본선,2
6,2019-01-17,2019,10:35,30,운전자요인기타,맑음,D급,0,0,본선,1
6,2019-05-23,2019,7:40,29.7,과속,맑음,D급,0,0,본선,1
6,2020-11-04,2020,4:52,31.8,졸음,맑음,C급,0,0,본선,1
7,2017-03-04,2017,15:26,131.01,주시태만,맑음,C급,0,0,본선,8
7,20181220,2018,11:04,131.2,안전거리미확보,맑음,D급,0,0,터널,2
7,20190513,2019,18:10,131.6,졸음,맑음,C급,0,0,본선,2
7,20190126,2019,0:10,132.1,주시태만,맑음,D급,0,0,본선,2
7,20160517,2016,8:05,133.6,운전요인기타,맑음,D급,0,0,본선,2
7,20200929,2020,23:13,133.8,과속,맑음,C급,0,1,본선,2
7,20160530,2016,10:00,135.2,과속,맑음,C급,0,1,본선,1
8,20191101,2019,18:50,155.1,졸음,맑음,D급,0,0,본선,1
8,20180127,2018,6:52,155.3,졸음,맑음,B급,1,1,본선,2
8,20191127,2019,3:05,155.4,졸음,맑음,D급,0,0,본선,1
8,20180920,2018,17:42,155.7,추월불량,맑음,D급,0,0,본선,1
8,20180512,2018,20:20,157.8,과속,맑음,D급,0,0,본선,1
8,20191015,2019,20:18,158.6,졸음,맑음,D급,0,0,터널,1
9,20160525,2016,17:41,192.8,운전요인기타,맑음,C급,0,1,본선,2
9,20171002,2017,16:28,194.4,과속,맑음,D급,0,0,본선,2
9,20181225,2018,13:05,194.5,과속,맑음,D급,0,0,본선,1
9,20180301,2018,10:50,194.9,주시태만,맑음,D급,0,0,본선,2
9,20201107,2020,21:27,194.9,운전요인기타,맑음,D급,0,0,본선,2
9,20160405,2016,9:35,195.9,주시태만,맑음,D급,0,0,램프,1
9,20170628,2017,15:27,195.9,추월불량,맑음,D급,0,0,본선,1
10,20190129,2019,5:40,22.1,주시태만,맑음,C급,0,1,본선,2
10,20190430,2019,10:00,24.5,운전요인기타,맑음,D급,0,0,본선,1
10,20180302,2018,8:23,24.9,주시태만,맑음,C급,0,0,본선,3
10,20170124,2017,5:10,25,주시태만,맑음,C급,0,0,본선,3
10,20160227,2016,17:30,25.5,운전요인기타,맑음,D급,0,0,본선,1
10,20170530,2017,0:27,25.8,졸음,맑음,C급,0,0,본선,2
10,20160718,2016,15:50,27,주시태만,맑음,D급,0,0,터널,2
