target,year,n
1,2016,1
1,2017,4
1,2018,0
1,2019,0
1,2020,1
1,2021,0
2,2016,1
2,2017,2
2,2018,4
2,2019,0
2,2020,1
2,2021,0
3,2016,2
3,2017,0
3,2018,2
3,2019,0
3,2020,1
3,2021,1
4,2016,0
4,2017,1
4,2018,2
4,2019,0
4,2020,1
4,2021,0
5,2016,1
5,2017,3
5,2018,4
5,2019,3
5,2020,2
5,2021,0
6,2016,0
6,2017,0
6,2018,2
6,2019,3
6,2020,1
6,2021,0
7,2016,2
7,2017,1
7,2018,1
7,2019,2
7,2020,1
7,2021,0
8,2016,0
8,2017,0
8,2018,3
8,2019,3
8,2020,0
8,2021,0
9,2016,2
9,2017,2
9,2018,2
9,2019,0
9,2020,1
9,2021,0
10,2016,2
10,2017,2
10,2018,1
10,2019,2
10,2020,0
10,2021,0
