num,LOS,CNT,start_at,end_at
01_1,A,1,375,8970
01_1,A,2,100375,108970
01_1,A,3,200390,208970
01_2,A,1,375,8970
01_2,A,2,100375,108970
01_2,A,3,200390,208970
01_3,A,1,375,8970
01_3,A,2,100375,108970
01_3,A,3,200390,208970
02_1,A,1,375,8970
02_1,A,2,100375,108970
02_1,A,3,200390,208970
02_2,A,1,375,8970
02_2,A,2,100375,108970
02_2,A,3,200390,208970
02_3,A,1,375,8970
02_3,A,2,100375,108970
02_3,A,3,200390,208970
03_1,A,1,390,8970
03_1,A,2,100405,108925
03_1,A,3,200375,208970
03_2,A,1,390,8955
03_2,A,2,100405,108925
03_2,A,3,200375,208970
04_1,A,1,375,5385
04_1,A,2,200375,205385
04_1,A,3,300450,305385
04_1,A,4,400375,405385
04_2,A,1,690,3735
04_2,A,2,100885,105385
04_2,A,3,200690,205385
04_2,A,4,300495,305385
04_2,A,5,400375,405385
04_3,A,1,990,5385
04_3,A,2,101515,104935
04_3,A,3,202445,204710
04_3,A,4,300720,305385
04_3,A,5,400390,404920
